historical_column,new_column,admitted,feature_tier,unit,reason
pair_MolWt,pair_MolWt,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_MolLogP,pair_MolLogP,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_MolMR,pair_MolMR,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_TPSA,pair_TPSA,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHDonors,pair_NumHDonors,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHAcceptors,pair_NumHAcceptors,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumRotatableBonds,pair_NumRotatableBonds,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAromaticRings,pair_NumAromaticRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAliphaticRings,pair_NumAliphaticRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAromaticHeterocycles,pair_NumAromaticHeterocycles,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumAliphaticHeterocycles,pair_NumAliphaticHeterocycles,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumSaturatedRings,pair_NumSaturatedRings,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumHeteroatoms,pair_NumHeteroatoms,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_HeavyAtomCount,pair_HeavyAtomCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NumValenceElectrons,pair_NumValenceElectrons,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NHOHCount,pair_NHOHCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_NOCount,pair_NOCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_FractionCSP3,pair_FractionCSP3,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_RingCount,pair_RingCount,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_HallKierAlpha,pair_HallKierAlpha,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_0,pair_morgan_0,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_1,pair_morgan_1,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_2,pair_morgan_2,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_3,pair_morgan_3,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_4,pair_morgan_4,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_5,pair_morgan_5,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_6,pair_morgan_6,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_7,pair_morgan_7,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_8,pair_morgan_8,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_9,pair_morgan_9,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_10,pair_morgan_10,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_11,pair_morgan_11,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_12,pair_morgan_12,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_13,pair_morgan_13,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_14,pair_morgan_14,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_15,pair_morgan_15,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_16,pair_morgan_16,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_17,pair_morgan_17,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_18,pair_morgan_18,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_19,pair_morgan_19,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_20,pair_morgan_20,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_21,pair_morgan_21,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_22,pair_morgan_22,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_23,pair_morgan_23,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_24,pair_morgan_24,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_25,pair_morgan_25,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_26,pair_morgan_26,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_27,pair_morgan_27,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_28,pair_morgan_28,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_29,pair_morgan_29,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_30,pair_morgan_30,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_31,pair_morgan_31,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_32,pair_morgan_32,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_33,pair_morgan_33,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_34,pair_morgan_34,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_35,pair_morgan_35,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_36,pair_morgan_36,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_37,pair_morgan_37,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_38,pair_morgan_38,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_39,pair_morgan_39,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_40,pair_morgan_40,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_41,pair_morgan_41,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_42,pair_morgan_42,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_43,pair_morgan_43,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_44,pair_morgan_44,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_45,pair_morgan_45,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_46,pair_morgan_46,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_47,pair_morgan_47,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_48,pair_morgan_48,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_49,pair_morgan_49,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_50,pair_morgan_50,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_51,pair_morgan_51,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_52,pair_morgan_52,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_53,pair_morgan_53,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_54,pair_morgan_54,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_55,pair_morgan_55,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_56,pair_morgan_56,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_57,pair_morgan_57,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_58,pair_morgan_58,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_59,pair_morgan_59,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_60,pair_morgan_60,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_61,pair_morgan_61,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_62,pair_morgan_62,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_63,pair_morgan_63,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_64,pair_morgan_64,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_65,pair_morgan_65,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_66,pair_morgan_66,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_67,pair_morgan_67,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_68,pair_morgan_68,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_69,pair_morgan_69,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_70,pair_morgan_70,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_71,pair_morgan_71,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_72,pair_morgan_72,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_73,pair_morgan_73,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_74,pair_morgan_74,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_75,pair_morgan_75,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_76,pair_morgan_76,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_77,pair_morgan_77,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_78,pair_morgan_78,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_79,pair_morgan_79,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_80,pair_morgan_80,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_81,pair_morgan_81,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_82,pair_morgan_82,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_83,pair_morgan_83,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_84,pair_morgan_84,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_85,pair_morgan_85,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_86,pair_morgan_86,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_87,pair_morgan_87,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_88,pair_morgan_88,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_89,pair_morgan_89,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_90,pair_morgan_90,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_91,pair_morgan_91,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_92,pair_morgan_92,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_93,pair_morgan_93,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_94,pair_morgan_94,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_95,pair_morgan_95,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_96,pair_morgan_96,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_97,pair_morgan_97,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_98,pair_morgan_98,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_99,pair_morgan_99,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_100,pair_morgan_100,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_101,pair_morgan_101,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_102,pair_morgan_102,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_103,pair_morgan_103,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_104,pair_morgan_104,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_105,pair_morgan_105,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_106,pair_morgan_106,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_107,pair_morgan_107,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_108,pair_morgan_108,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_109,pair_morgan_109,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_110,pair_morgan_110,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_111,pair_morgan_111,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_112,pair_morgan_112,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_113,pair_morgan_113,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_114,pair_morgan_114,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_115,pair_morgan_115,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_116,pair_morgan_116,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_117,pair_morgan_117,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_118,pair_morgan_118,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_119,pair_morgan_119,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_120,pair_morgan_120,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_121,pair_morgan_121,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_122,pair_morgan_122,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_123,pair_morgan_123,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_124,pair_morgan_124,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_125,pair_morgan_125,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_126,pair_morgan_126,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_127,pair_morgan_127,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_128,pair_morgan_128,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_129,pair_morgan_129,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_130,pair_morgan_130,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_131,pair_morgan_131,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_132,pair_morgan_132,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_133,pair_morgan_133,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_134,pair_morgan_134,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_135,pair_morgan_135,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_136,pair_morgan_136,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_137,pair_morgan_137,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_138,pair_morgan_138,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_139,pair_morgan_139,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_140,pair_morgan_140,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_141,pair_morgan_141,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_142,pair_morgan_142,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_143,pair_morgan_143,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_144,pair_morgan_144,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_145,pair_morgan_145,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_146,pair_morgan_146,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_147,pair_morgan_147,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_148,pair_morgan_148,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_149,pair_morgan_149,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_150,pair_morgan_150,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_151,pair_morgan_151,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_152,pair_morgan_152,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_153,pair_morgan_153,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_154,pair_morgan_154,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_155,pair_morgan_155,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_156,pair_morgan_156,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_157,pair_morgan_157,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_158,pair_morgan_158,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_159,pair_morgan_159,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_160,pair_morgan_160,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_161,pair_morgan_161,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_162,pair_morgan_162,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_163,pair_morgan_163,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_164,pair_morgan_164,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_165,pair_morgan_165,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_166,pair_morgan_166,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_167,pair_morgan_167,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_168,pair_morgan_168,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_169,pair_morgan_169,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_170,pair_morgan_170,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_171,pair_morgan_171,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_172,pair_morgan_172,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_173,pair_morgan_173,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_174,pair_morgan_174,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_175,pair_morgan_175,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_176,pair_morgan_176,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_177,pair_morgan_177,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_178,pair_morgan_178,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_179,pair_morgan_179,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_180,pair_morgan_180,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_181,pair_morgan_181,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_182,pair_morgan_182,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_183,pair_morgan_183,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_184,pair_morgan_184,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_185,pair_morgan_185,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_186,pair_morgan_186,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_187,pair_morgan_187,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_188,pair_morgan_188,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_189,pair_morgan_189,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_190,pair_morgan_190,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_191,pair_morgan_191,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_192,pair_morgan_192,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_193,pair_morgan_193,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_194,pair_morgan_194,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_195,pair_morgan_195,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_196,pair_morgan_196,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_197,pair_morgan_197,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_198,pair_morgan_198,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_199,pair_morgan_199,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_200,pair_morgan_200,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_201,pair_morgan_201,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_202,pair_morgan_202,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_203,pair_morgan_203,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_204,pair_morgan_204,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_205,pair_morgan_205,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_206,pair_morgan_206,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_207,pair_morgan_207,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_208,pair_morgan_208,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_209,pair_morgan_209,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_210,pair_morgan_210,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_211,pair_morgan_211,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_212,pair_morgan_212,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_213,pair_morgan_213,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_214,pair_morgan_214,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_215,pair_morgan_215,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_216,pair_morgan_216,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_217,pair_morgan_217,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_218,pair_morgan_218,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_219,pair_morgan_219,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_220,pair_morgan_220,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_221,pair_morgan_221,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_222,pair_morgan_222,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_223,pair_morgan_223,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_224,pair_morgan_224,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_225,pair_morgan_225,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_226,pair_morgan_226,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_227,pair_morgan_227,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_228,pair_morgan_228,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_229,pair_morgan_229,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_230,pair_morgan_230,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_231,pair_morgan_231,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_232,pair_morgan_232,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_233,pair_morgan_233,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_234,pair_morgan_234,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_235,pair_morgan_235,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_236,pair_morgan_236,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_237,pair_morgan_237,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_238,pair_morgan_238,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_239,pair_morgan_239,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_240,pair_morgan_240,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_241,pair_morgan_241,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_242,pair_morgan_242,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_243,pair_morgan_243,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_244,pair_morgan_244,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_245,pair_morgan_245,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_246,pair_morgan_246,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_247,pair_morgan_247,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_248,pair_morgan_248,True,M1_C0_OPEN,dimensionless,deterministically regenerated
pair_morgan_249,pair_morgan_249,True,M1_C0_OPEN,dimensionless,deterministically regenerated
